id_hecho,n_victimas,fecha,hh,tipo_calle,comuna,longitud,latitud,victima,acusado,gravedad
2016-0001,1,2016-01-01,4.0,AVENIDA,8.0,-58.47533969,-34.68757022,MOTO,AUTO,FATAL
2016-0002,1,2016-01-02,1.0,GRAL PAZ,9.0,-58.50877521,-34.66977709,AUTO,PASAJEROS,FATAL
2016-0003,1,2016-01-03,7.0,AVENIDA,1.0,-58.39040293,-34.63189362,MOTO,AUTO,FATAL
2016-0004,1,2016-01-10,0.0,AVENIDA,8.0,-58.46503904,-34.68092974,MOTO,,FATAL
2016-0005,1,2016-01-21,5.0,AVENIDA,1.0,-58.38718297,-34.6224663,MOTO,PASAJEROS,FATAL
2016-0008,1,2016-01-24,18.0,AVENIDA,8.0,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,FATAL
2016-0009,1,2016-01-24,19.0,CALLE,11.0,-58.50095869,-34.6082544,MOTO,AUTO,FATAL
2016-0010,1,2016-01-29,15.0,GRAL PAZ,9.0,-58.50877521,-34.66977709,MOTO,AUTO,FATAL
2016-0012,1,2016-02-08,1.0,AVENIDA,1.0,-58.38048577,-34.61303893,MOTO,CARGAS,FATAL
2016-0013,1,2016-02-10,11.0,AVENIDA,1.0,-58.39114932,-34.62477387,PEATON,AUTO,FATAL
2016-0015,1,2016-02-14,5.0,AVENIDA,15.0,-58.4376002,-34.59912758,PEATON,AUTO,FATAL
2016-0016,1,2016-02-14,22.0,AVENIDA,4.0,-58.36882665,-34.64291993,MOTO,AUTO,FATAL
2016-0017,1,2016-02-15,16.0,AVENIDA,8.0,-58.44989671,-34.65970435,PEATON,MOTO,FATAL
2016-0019,1,2016-02-17,9.0,CALLE,9.0,-58.50990884,-34.65468721,PEATON,PASAJEROS,FATAL
2016-0020,1,2016-02-17,16.0,CALLE,1.0,-58.37952223,-34.60653282,PEATON,AUTO,FATAL
2016-0021,1,2016-02-17,23.0,AVENIDA,7.0,-58.45157703,-34.63063795,AUTO,AUTO,FATAL
2016-0022,1,2016-02-21,6.0,AVENIDA,1.0,-58.38144696,-34.61079875,MOTO,AUTO,FATAL
2016-0025,1,2016-02-28,4.0,GRAL PAZ,8.0,-58.46244952,-34.70524971,AUTO,AUTO,FATAL
2016-0026,1,2016-02-28,7.0,CALLE,12.0,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,FATAL
2016-0027,1,2016-02-28,9.0,AVENIDA,7.0,-58.44497874,-34.63852623,AUTO,AUTO,FATAL
