,id_hecho,fecha,rol,vehiculo_victima,sexo_victima,edad_victima,gravedad,Victima_fatal,Victima_no_fatal
2940,LC-2019-0157735,2019-03-14,,,MASCULINO,,LEVE,0,1
2941,LC-2019-0157888,2019-03-14,,,,,LEVE,0,1
2942,LC-2019-0157891,2019-03-14,,,MASCULINO,15.0,LEVE,0,1
2943,LC-2019-0157903,2019-03-14,,,MASCULINO,32.0,LEVE,0,1
2944,LC-2019-0442716,2019-07-17,,,MASCULINO,21.0,LEVE,0,1
2945,LC-2019-0512063,2019-08-16,,,MASCULINO,21.0,LEVE,0,1
2946,LC-2019-0122656,2019-02-26,,,MASCULINO,38.0,LEVE,0,1
2947,LC-2019-0158227,2019-03-14,,,FEMENINO,31.0,LEVE,0,1
2948,LC-2019-0158379,2019-03-14,,,MASCULINO,32.0,LEVE,0,1
2949,LC-2019-0158767,2019-03-14,,,MASCULINO,25.0,LEVE,0,1
2950,LC-2019-0158767,2019-03-14,,,FEMENINO,25.0,LEVE,0,1
2951,LC-2019-0158767,2019-03-14,,,FEMENINO,46.0,LEVE,0,1
2952,LC-2019-0158807,2019-03-14,,,MASCULINO,50.0,LEVE,0,1
2953,LC-2019-0159100,2019-03-14,,,MASCULINO,31.0,LEVE,0,1
2954,LC-2019-0159222,2019-03-14,,,MASCULINO,26.0,LEVE,0,1
2955,LC-2019-0160274,2019-03-14,,,,,LEVE,0,1
2956,LC-2019-0160802,2019-03-14,,,FEMENINO,,LEVE,0,1
2957,LC-2019-0162166,2019-03-14,,,FEMENINO,54.0,LEVE,0,1
2958,LC-2019-0166971,2019-03-14,,,FEMENINO,30.0,LEVE,0,1
2959,LC-2019-0169335,2019-03-14,,,FEMENINO,39.0,LEVE,0,1
2960,LC-2019-0171784,2019-03-14,,,MASCULINO,46.0,LEVE,0,1
2961,LC-2019-0298638,2019-03-14,,,FEMENINO,21.0,LEVE,0,1
2962,LC-2019-0158930,2019-03-14,,,varon,23.0,LEVE,0,1
2963,LC-2019-0159131,2019-03-15,,,FEMENINO,,LEVE,0,1
2964,LC-2019-0159150,2019-03-15,,,FEMENINO,43.0,LEVE,0,1
2965,LC-2019-0159150,2019-03-15,,,MASCULINO,43.0,LEVE,0,1
2966,LC-2019-0159234,2019-03-15,,,MASCULINO,33.0,LEVE,0,1
2967,LC-2019-0159273,2019-03-15,,,MASCULINO,35.0,LEVE,0,1
2968,LC-2019-0159285,2019-03-15,,,MASCULINO,31.0,LEVE,0,1
2969,LC-2019-0159308,2019-03-15,,,MASCULINO,29.0,LEVE,0,1
2970,LC-2019-0159391,2019-03-15,,,MASCULINO,26.0,LEVE,0,1
2971,LC-2019-0159391,2019-03-15,,,FEMENINO,26.0,LEVE,0,1
2972,LC-2019-0159682,2019-03-15,,,MASCULINO,27.0,LEVE,0,1
2973,LC-2019-0159761,2019-03-15,,,MASCULINO,32.0,LEVE,0,1
2974,LC-2019-0160019,2019-03-15,,,MASCULINO,25.0,LEVE,0,1
2975,LC-2019-0160073,2019-03-15,,,FEMENINO,28.0,LEVE,0,1
2976,LC-2019-0160127,2019-03-15,,,MASCULINO,26.0,LEVE,0,1
2977,LC-2019-0160169,2019-03-15,,,FEMENINO,57.0,LEVE,0,1
2978,LC-2019-0160195,2019-03-15,,,MASCULINO,3.0,LEVE,0,1
2979,LC-2019-0160427,2019-03-15,,,MASCULINO,34.0,LEVE,0,1
2980,LC-2019-0160560,2019-03-15,,,FEMENINO,48.0,LEVE,0,1
2981,LC-2019-0160585,2019-03-15,,,MASCULINO,89.0,LEVE,0,1
2982,LC-2019-0160725,2019-03-15,,,MASCULINO,39.0,LEVE,0,1
2983,LC-2019-0160836,2019-03-15,,,MASCULINO,57.0,LEVE,0,1
2984,LC-2019-0160842,2019-03-15,,,MASCULINO,35.0,LEVE,0,1
2985,LC-2019-0161090,2019-03-15,,,MASCULINO,61.0,LEVE,0,1
2986,LC-2019-0161169,2019-03-15,,,,,LEVE,0,1
2987,LC-2019-0161178,2019-03-15,,,MASCULINO,47.0,LEVE,0,1
2988,LC-2019-0161179,2019-03-15,,,MASCULINO,26.0,LEVE,0,1
2989,LC-2019-0161192,2019-03-15,,,MASCULINO,30.0,LEVE,0,1
2990,LC-2019-0161233,2019-03-15,,,,,LEVE,0,1
2991,LC-2019-0161240,2019-03-15,,,MASCULINO,35.0,LEVE,0,1
2992,LC-2019-0161240,2019-03-15,,,MASCULINO,35.0,LEVE,0,1
2993,LC-2019-0161257,2019-03-15,,,MASCULINO,48.0,LEVE,0,1
2994,LC-2019-0161335,2019-03-15,,,FEMENINO,33.0,LEVE,0,1
2995,LC-2019-0161372,2019-03-15,,,FEMENINO,26.0,LEVE,0,1
2996,LC-2019-0124017,2019-02-27,,,MASCULINO,38.0,LEVE,0,1
2997,LC-2019-0161453,2019-03-15,,,FEMENINO,70.0,LEVE,0,1
2998,LC-2019-0161475,2019-03-15,,,MASCULINO,,LEVE,0,1
2999,LC-2019-0161557,2019-03-15,,,MASCULINO,38.0,LEVE,0,1
3000,LC-2019-0161557,2019-03-15,,,FEMENINO,38.0,LEVE,0,1
3001,LC-2019-0161613,2019-03-15,,,FEMENINO,32.0,LEVE,0,1
3002,LC-2019-0161617,2019-03-15,,,MASCULINO,38.0,LEVE,0,1
3003,LC-2019-0161658,2019-03-15,,,MASCULINO,49.0,LEVE,0,1
3004,LC-2019-0161684,2019-03-15,,,FEMENINO,,LEVE,0,1
3005,LC-2019-0161726,2019-03-15,,,MASCULINO,55.0,LEVE,0,1
3006,LC-2019-0161726,2019-03-15,,,MASCULINO,55.0,LEVE,0,1
3007,LC-2019-0161904,2019-03-15,,,MASCULINO,28.0,LEVE,0,1
3008,LC-2019-0170428,2019-03-15,,,MASCULINO,32.0,LEVE,0,1
3009,LC-2019-0159738,2019-03-15,,,varon,43.0,LEVE,0,1
3010,LC-2019-0159323,2019-03-15,,,varon,29.0,LEVE,0,1
3011,LC-2019-0161956,2019-03-16,,,MASCULINO,33.0,LEVE,0,1
3012,LC-2019-0162003,2019-03-16,,,MASCULINO,48.0,LEVE,0,1
3013,LC-2019-0162124,2019-03-16,,,MASCULINO,31.0,LEVE,0,1
