,gravedad
456,Fatal
457,Fatal
458,Fatal
459,Fatal
460,Fatal
461,Fatal
462,Fatal
463,Fatal
464,Fatal
465,Fatal
466,Fatal
467,Fatal
468,Fatal
469,Fatal
470,Fatal
471,Fatal
472,Fatal
473,Fatal
474,Fatal
475,Fatal
476,Fatal
477,Fatal
478,Fatal
479,Fatal
480,Fatal
481,Fatal
482,Fatal
483,Fatal
484,Fatal
485,Fatal
486,Fatal
487,Fatal
488,Fatal
489,Fatal
490,Fatal
491,Fatal
492,Fatal
493,Fatal
494,Fatal
495,Fatal
496,Fatal
497,Fatal
498,Fatal
499,Fatal
500,Fatal
501,Fatal
502,Fatal
503,Fatal
504,Fatal
505,Fatal
506,Fatal
507,Fatal
508,Fatal
509,Fatal
510,Fatal
511,Fatal
512,Fatal
513,Fatal
514,Fatal
515,Fatal
516,Fatal
517,Fatal
518,Fatal
519,Fatal
520,Fatal
521,Fatal
522,Fatal
523,Fatal
524,Fatal
525,Fatal
526,Fatal
527,Fatal
528,Fatal
529,Fatal
530,Fatal
531,Fatal
532,Fatal
533,Fatal
534,Fatal
535,Fatal
536,Fatal
537,Fatal
538,Fatal
539,Fatal
540,Fatal
541,Fatal
542,Fatal
543,Fatal
544,Fatal
545,Fatal
546,Fatal
547,Fatal
548,Fatal
549,Fatal
550,Fatal
551,Fatal
552,Fatal
553,Fatal
554,Fatal
555,Fatal
556,Fatal
557,Fatal
558,Fatal
559,Fatal
560,Fatal
561,Fatal
562,Fatal
563,Fatal
564,Fatal
565,Fatal
566,Fatal
567,Fatal
568,Fatal
569,Fatal
570,Fatal
571,Fatal
572,Fatal
573,Fatal
574,Fatal
575,Fatal
576,Fatal
577,Fatal
578,Fatal
579,Fatal
580,Fatal
581,Fatal
582,Fatal
583,Fatal
584,Fatal
585,Fatal
586,Fatal
587,Fatal
588,Fatal
589,Fatal
590,Fatal
591,Fatal
592,Fatal
593,Fatal
594,Fatal
595,Fatal
596,Fatal
597,Fatal
598,Fatal
599,Fatal
600,Fatal
601,Fatal
602,Fatal
603,Fatal
604,Fatal
605,Fatal
606,Fatal
607,Fatal
608,Fatal
609,Fatal
610,Fatal
611,Fatal
612,Fatal
613,Fatal
614,Fatal
615,Fatal
616,Fatal
617,Fatal
618,Fatal
619,Fatal
620,Fatal
621,Fatal
622,Fatal
623,Fatal
624,Fatal
625,Fatal
626,Fatal
627,Fatal
628,Fatal
629,Fatal
630,Fatal
631,Fatal
632,Fatal
633,Fatal
634,Fatal
635,Fatal
636,Fatal
637,Fatal
638,Fatal
639,Fatal
640,Fatal
641,Fatal
642,Fatal
643,Fatal
644,Fatal
645,Fatal
646,Fatal
647,Fatal
648,Fatal
649,Fatal
650,Fatal
651,Fatal
652,Fatal
653,Fatal
654,Fatal
655,Fatal
656,Fatal
657,Fatal
658,Fatal
659,Fatal
660,Fatal
661,Fatal
662,Fatal
663,Fatal
664,Fatal
665,Fatal
666,Fatal
667,Fatal
668,Fatal
669,Fatal
670,Fatal
671,Fatal
672,Fatal
673,Fatal
674,Fatal
675,Fatal
676,Fatal
677,Fatal
678,Fatal
679,Fatal
680,Fatal
681,Fatal
682,Fatal
683,Fatal
684,Fatal
685,Fatal
686,Fatal
687,Fatal
688,Fatal
689,Fatal
690,Fatal
691,Fatal
692,Fatal
693,Fatal
694,Fatal
695,Fatal
12740,Fatal
14580,Fatal
15914,Fatal
